	FID	ID	FIELD	OID_1	YLD00	YLD01	YLD02	YLD03	AVGYLD	ELE	SLOPE	CURV	PRO	PLAN	EC_SH	EC_DP	BAND1	BAND2	BAND3	BAND4	VI00_520	VI00_528	VI00_613	VI00_707	VI00_715	VI00_723	VI00_816	VI00_824	VI00_901	VI00_917	VI01_616	VI01_624	VI01_710	VI01_827	VI01_912	VI02_518	VI02_526	VI02_619	VI02_713	VI02_721	VI02_830	VI02_907	VI02_923	VI03_505	VI03_529	VI03_606	VI03_622	VI03_724	VI03_825	VI03_926	STD00	STD01	STD02	STD03	CV	M3_00	M3_01	M3_02	M3_03	M3_AV	CL_AV	CL_00	CL_01	CL_02	CL_03
191	191	3475	C29	3474	729.5	1114.0999755999999	1105.1999512	828	944.2999877999998	1080.27	0.2576	-0.009286	0.003434	-0.005853	16.5	38.5999985	90	79	98	71	-0.1852	-0.1917	-0.1625	0.1077	0.1784	0.1534	0.4474	0.3895	0.0714	-0.0727	-0.1946	-0.1765	0.0093	0.3405	0.13	-0.20535714300000002	-0.22047244100000002	-0.194690265	-0.013452915	0.068783069	0.264864865	0.214285714	-0.005235602	-0.040462427999999995	-0.23552123600000002	-0.179190751	-0.158536585	0.034482759	0.03649635	-0.028571429	0.84	0.91	1.03	1	0.08	2.0	2.0	2.0	1.0	2.0	1.0	3.0	3.0	3.0	1.0
192	192	3476	C29	3475	694.7000122000001	1115.9000244000001	1052.6999512	859	930.5999756000001	1080.23	0.194	0.008569	-0.012327	-0.003757	19.0	35.9000015	86	78	98	70	-0.1808	-0.1967	-0.1801	0.1692	0.2686	0.3118	0.4079	0.3474	0.0843	-0.0741	-0.1909	-0.1833	0.0047	0.3443	0.1386	-0.194570136	-0.21138211399999998	-0.201754386	-0.030837003999999998	0.068783069	0.393258427	0.183431953	-0.030927835	-0.068965517	-0.236220472	-0.176470588	-0.165644172	0.022727273	0.028985507	-0.022727273	0.8	0.91	0.98	1	0.076	2.0	2.0	2.0	1.0	2.0	1.0	3.0	3.0	3.0	1.0
193	193	3477	C29	3476	836.0	1103.5999755999999	1108.0	834	970.2999877999998	1080.23	0.1786	0.011897	-0.00526	0.006637	21.8999996	37.9000015	84	77	102	71	-0.1942	-0.1934	-0.175	0.1531	0.2316	0.3111	0.4248	0.3789	0.0988	-0.0704	-0.2018	-0.1818	0.014	0.3552	0.1771	-0.2	-0.217741935	-0.21052631600000002	0.009090909	0.041666667000000004	0.352272727	0.176470588	-0.025641026	-0.08988764	-0.234375	-0.17857142899999998	-0.156626506	-0.010989011000000002	0.043478261	-0.033707865	0.97	0.9	1.03	1	0.063	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0
194	194	3478	C29	3477	906.2000122000002	1293.5	1120.9000244000001	993	1078.4000244000001	1080.19	0.1301	-0.003365	0.000881	-0.002484	24.7999992	41.2000008	84	76	104	72	-0.1912	-0.1968	-0.175	0.1616	0.2265	0.3005	0.4362	0.399	0.0952	-0.1185	-0.1944	-0.1852	-0.0132	0.3514	0.133	-0.203539823	-0.222222222	-0.20689655199999998	-0.013100437	0.07853403099999999	0.34831460700000005	0.204819277	-0.03	-0.124324324	-0.23735408600000002	-0.169590643	-0.16867469899999998	-0.021505376	0.035971223	-0.038674033	1.05	1.05	1.04	1	0.013	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	3.0
195	195	3479	C29	3478	694.2000122000001	1153.3000488	1089.9000244000001	681	904.5999756000001	1080.21	0.1445	0.002348	-0.001209	0.00114	26.899999600000005	42.5999985	84	83	106	74	-0.1971	-0.2109	-0.2	0.1472	0.2198	0.337	0.404	0.3608	0.0952	-0.1048	-0.2108	-0.177	-0.0254	0.3155	0.1005	-0.20689655199999998	-0.233082707	-0.21008403399999998	-0.06329113900000001	0.056410256	0.35593220299999995	0.190751445	-0.014925373	-0.11827957	-0.233716475	-0.165714286	-0.169590643	-0.051546392	0.028169014	-0.005464481	0.8	0.94	1.02	1	0.128	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0
196	196	3480	C29	3479	754.7000122000001	1251.6999512	1154.8000488	865	1006.5999756000001	1080.21	0.0871	-0.004945	0.002729	-0.002217	29.0	42.7000008	88	84	112	74	-0.2042	-0.2062	-0.2024	0.1357	0.172	0.2865	0.3816	0.3862	0.0898	-0.0995	-0.2174	-0.192	-0.0293	0.3441	0.109	-0.21666666699999998	-0.233082707	-0.21666666699999998	-0.097560976	-0.028846154	0.288888889	0.123595506	-0.069767442	-0.135416667	-0.23595505600000002	-0.18888888899999998	-0.179487179	-0.059405941	0.034482759	0.005291005	0.87	1.02	1.08	1	0.092	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0
197	197	3481	C29	3480	614.5	999.2999877999998	983.0	685	820.4000244	1080.22	0.0596	-0.006175	0.002988	-0.003187	25.3999996	37.0999985	88	81	122	77	-0.2028	-0.1984	-0.2	0.14	0.1676	0.2796	0.3506	0.3508	0.0508	-0.0892	-0.2208	-0.2063	-0.0169	0.2821	0.1174	-0.21008403399999998	-0.222641509	-0.226337449	-0.089430894	-0.047169811	0.22826087	0.10989011	-0.070422535	-0.128205128	-0.237037037	-0.197802198	-0.19047619	-0.071770335	0.034482759	0.0	0.71	0.81	0.92	1	0.093	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
198	198	3482	C29	3481	654.7999877999999	1080.9000244000001	948.5999756000001	586	817.5999756	1080.23	0.0747	0.012289	-0.00757	0.004719	22.7000008	36.2000008	86	84	119	77	-0.2083	-0.1967	-0.2024	0.0599	0.1579	0.2396	0.3758	0.3508	0.1059	-0.0926	-0.2155	-0.192	-0.0043	0.2857	0.194	-0.21008403399999998	-0.226765799	-0.206751055	-0.055793990999999994	-0.037735849	0.213114754	0.116022099	-0.029411765	-0.12169312199999999	-0.242647059	-0.170454545	-0.178743961	-0.08490566	0.0	0.005235602	0.76	0.88	0.88	1	0.119	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
199	199	3483	C29	3482	823.5999756	1082.6999512	969.9000243999999	796	918.0999756000001	1080.2	0.1198	0.001502	-0.001025	0.000477	22.0	36.0999985	90	83	106	73	-0.1986	-0.1878	-0.1951	0.0654	0.1503	0.2593	0.4437	0.3505	0.1572	-0.1132	-0.2159	-0.1918	0.0224	0.4074	0.2323	-0.21702127699999998	-0.22605364	-0.206751055	-0.048034934	0.014778325	0.244680851	0.15789473699999998	-0.02	-0.112299465	-0.239543726	-0.179190751	-0.190751445	-0.025125627999999997	0.048951049	0.055555556	0.95	0.88	0.9	1	0.039	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
200	200	3484	C29	3483	850.5999756000001	1327.5	984.2999877999998	913	1018.7999877999998	1080.17	0.1344	-0.000995	-0.002624	-0.003618	21.8999996	35.7000008	90	83	113	77	-0.2085	-0.193	-0.1646	0.0616	0.1739	0.3016	0.4248	0.3895	0.1875	-0.0784	-0.2162	-0.1983	0.0226	0.3838	0.1741	-0.21030042899999998	-0.23137254899999998	-0.222222222	-0.068965517	0.045226130999999996	0.314606742	0.122807018	-0.01980198	-0.112299465	-0.23255814	-0.179190751	-0.17857142899999998	-0.025125627999999997	0.062937063	-0.005291005	0.98	1.08	0.92	1	0.066	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
